filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
18NAVY28_v1_brk_4_GB12_01_39567.mzXML,18NAVY28_v1_brk_4,Picante Sauce SS packet 8/14,,,,,,,
18NAVY28_v1_brk_5_GC12_01_39569.mzXML,18NAVY28_v1_brk_5,"Chicken Breast, Picante Sauce SS packet 8/14",,,,,,,
18NAVY28_v1_brk_6_GD12_01_39568.mzXML,18NAVY28_v1_brk_6,"Cantaloupe,Picante Sauce SS packet 8/14",,,,,,,
18NAVY28_v1_lun_1_BC2_01_39682.mzXML,18NAVY28_v1_lun_1,"Ham , HORMEL 9/08",,,,,,,
18NAVY28_v1_lun_2_BD2_01_39683.mzXML,18NAVY28_v1_lun_2,"Peanut Butter Smooth, 3/16",,,,,,,
18NAVY28_v1_lun_3_BE2_01_39680.mzXML,18NAVY28_v1_lun_3,Cheese Cheddar Sliced 11/06,,,,,,,
18NAVY28_v1_lun_4_BF2_01_39681.mzXML,18NAVY28_v1_lun_4,"Bread Whole Wheat , Aspen",,,,,,,
18NAVY28_v1_snk_1_GB11_01_39530.mzXML,18NAVY28_v1_snk_1,**15-1692 Kind Granola Bar,,,,,,,
18NAVY28_v1_snk_2_GC11_01_39531.mzXML,18NAVY28_v1_snk_2,Pretzels Rold Gold-09/07,,,,,,,
18NAVY28_v1_snk_3_GD11_01_39532.mzXML,18NAVY28_v1_snk_3,Carrot Baby,,,,,,,
18NAVY28_v1_snk_4_GE11_01_39533.mzXML,18NAVY28_v1_snk_4,Grapes Red or Green,,,,,,,
18NAVY28_v1_snk_5_GF11_01_39534.mzXML,18NAVY28_v1_snk_5,Graham Cracker -4/16,,,,,,,
18NAVY28_v1_sup_1_GE12_01_39612.mzXML,18NAVY28_v1_sup_1,Cheese Cheddar Shredded,,,,,,,
18NAVY28_v1_sup_2_GF12_01_39613.mzXML,18NAVY28_v1_sup_2,Potato Baked Flesh,,,,,,,
18NAVY28_v1_sup_3_GG12_01_39614.mzXML,18NAVY28_v1_sup_3,Broccoli,,,,,,,
