filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
G79697_5x_10ul_RG12_01_19566.mzXML,11442.G79697,brown rice miso,organic whole soybeans,organic handmade rice koji,sun-dried sea salt,Blue  Ridge Mountain well water,koji spores,not applicable,not applicable
G79698_5x_BA11_01_19623.mzXML,11442.G79698,belgium chocolate pudding,"whole milk (milk, vitamin D)","semi sweet belgium chocolate (unsweetened chocolate, sugar, cocoa butter, soy lecithin, natural vanilla extract)",sugar,whole eggs,"cream (pasteurized cream, contains less than 0.5% of stabilizers (carrageenan, monoand diglycerides, dextrose)",modified corn starch,vanilla extract;cocoa;salt
G79699_5x_BH11_01_19704.mzXML,11442.G79699,Stonyfield organic O'soy; soy yogurt,cultured pasteurized organic soy milk,organic cane sugar,organic blueberries,pectin,calcium carbonate,organic carob bean gum,natural flavor;organic fruit juice concentrate (for color)
G79700_5x_BG11_01_19667.mzXML,11442.G79700,So Delicious dairy free; coconut milk; yogurt alternative,organic coconut milk,rice starch,calcium phosphate,pectin,dipotassium phosphate,locust bean gum,live cultures;(nbsp) vitamin D2;vitamin B12
G79701_5x_10ul_BE10_01_19697.mzXML,11442.G79701,"kite hill artisan almond milk yogurt, blueberry",almond milk,cane sugar,wild blueberries,organic tapioca starch,locust bean gum,natural flavor,fruit juice;citric acid;xanthan gum;agar;live active cultures
G79702_5x_BD10_01_19632.mzXML,11442.G79702,greek whole milk yogurt; avocado citrus,"GRADE A PASTEURIZED MILK (CULTURED PASTEURIZED SKIM MILK, PASTEURIZED CREAM)","AVOCADO CITRUS BASE (AVOCADO, CANE SUGAR, WATER, BLOOD ORANGE JUICE CONCENTRATE, NATURAL FLAVORS, MODIFIED CORNSTARCH, TURMERIC AND FRUIT JUICE FOR COLOR, ASCORBIC ACID, CITRIC ACID)","LIVE AND ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. CASEI",not applicable,not applicable,not applicable,not applicable
G79703_5x_10ul_rerun_BG9_01_19767.mzXML,11442.G79703,"yogurt, plain, fat free",cultured pasteurized nonfat milk,fruit pectin,vitamin A,acetate,vitamin D3,not applicable,not applicable
G79704_5x_10ul_RH12_01_19580.mzXML,11442.G79704,"sauerkraut with pickled persian cucumbers, kraut",cabbage,persian cucumbers,sea salt,garlic,not applicable,not applicable,not applicable
G79705_5x_RA12_01_19470.mzXML,11442.G79705,"sauerkraut with pickled persian cucumbers, cucumber",cabbage,persian cucumbers,sea salt,garlic,not applicable,not applicable,not applicable
G79706_5x_RB12_01_19484.mzXML,11442.G79706,kimchi,napa cabbage,radish,onion,cane sugar,garlic,anchovies,chili;salt
G79707_5x_10ul_RG11_01_19565.mzXML,11442.G79707,"spicy pickled vegetables, cauliflower","brine(water, vinegar)",carrots,jalapeno,onion,cauliflower,jicama,garlic;coconut palm sugar;sea salt;oregano;black peppercorns;bay leaves
G79708_5x_RC11_01_19499.mzXML,11442.G79708,"spicy pickled vegetables, jicama","brine(water, vinegar)",carrots,jalapeno,onion,cauliflower,jicama,garlic;coconut palm sugar;sea salt;oregano;black peppercorns;bay leaves
G79709_5x_10ul_RH11_01_19579.mzXML,11442.G79709,"spicy pickled vegetables, carrot","brine(water, vinegar)",carrots,jalapeno,onion,cauliflower,jicama,garlic;coconut palm sugar;sea salt;oregano;black peppercorns;bay leaves
G79710_1x_rerun_RC11_01_23330.mzXML,11442.G79710,applewood smoked ham,cured with water,honey,dextrose,salt,sodium phosphate,sodium erythrobate,sodium nitrite
G79711_5x_RA11_01_19469.mzXML,11442.G79711,manzanilla olives,Manzilla olives, olive oil,sea salt,lactic acid,not applicable,not applicable,not applicable
G79712_5x_BB10_01_19624.mzXML,11442.G79712,string cheese,organic pasteurized part skim cows milk,cheese cultures,salt,microbial enzymes,not applicable,not applicable,not applicable
G79713_5x_RB9_01_19481.mzXML,11442.G79713,hershey's milk chocolate,cane sugar,milk,chocolate,cocoa butter,milk fat,lecithin (soy),natural flavor
G79714_5x_RA9_01_19467.mzXML,11442.G79714,"ritter sport chocolate, whole milk chocolate with hazelnuts",SUGAR,HAZELNUTS,COCOA BUTTER,CHOCOLATE LIQUOR,MILK,LACTOSE (MILK),SKIM MILK;BUTTERFAT (MILK);SOY LECITHIN;NATURAL FLAVOR
G79715_1x_rerun_BA11_01_20133.mzXML,11442.G79715,"Unilever Sundried Tomato Coconut cluster, from neighbor's ",coconut,sundried tomato,not collected,not collected,not collected,not collected,not collected
G79716_5x_BC4_01_19695.mzXML,11442.G79716,apricot decaf black,"black tea, decaf",apricot,not applicable,not applicable,not applicable,not applicable,not applicable
G79717_5x_4ul_BF5_01_19734.mzXML,11442.G79717,silver tip jasmine,Green tea,jasmine flowers,not applicable,not applicable,not applicable,not applicable,not applicable
G79718_5x_4ul_BD4_01_19710.mzXML,11442.G79718,dragon pearl jasmine,dragon pearl jasmine,jasmine flowers,not applicable,not applicable,not applicable,not applicable,not applicable
G79719_5x_2ul_BB6_01_19652.mzXML,11442.G79719,White Peony,White Peony,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G79720_5x_2ul_BC6_01_19676.mzXML,11442.G79720,Rose Peony,Rose Peony,rose buds,rose oil,not applicable,not applicable,not applicable,not applicable
G79721_5x_4ul_BG6_01_19746.mzXML,11442.G79721,Dragon eye dong ding,Dragon eye dong ding,not collected,not collected,not collected,not collected,not collected,not collected
G79722_5x_4ul_BH6_01_19757.mzXML,11442.G79722,Iron Goddess of Mercy,bao zhong oolong,toasted coconut shavings,not applicable,not applicable,not applicable,not applicable,not applicable
G79723_5x_BA6_01_19612.mzXML,11442.G79723,Coconut Oolong,bao zhong oolong,coconut,not applicable,not applicable,not applicable,not applicable,not applicable
G79724_5x_4ul_BD6_01_19712.mzXML,11442.G79724,Wuyi Mountain,Wuyi Mountain,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G79725_5x_BG10_01_19666.mzXML,11442.G79725,chocolate,cacao beans,raw cane sugar,cacao butter,butter,fleur de sel,natural flavor,not applicable
G79726_5x_BH12_01_19705.mzXML,11442.G79726,dark chocolate truffle,organic cocoa mass,organic evaporated cane juice,organic cocoa butter,organic expeller pressed canola oil and/or safflower oil and/or sunflower oil,not applicable,not applicable,not applicable
G79727_1x_BF6_01_19541.mzXML,11442.G79727,Sea Salt Kraut Krips,"Sauerkraut (Organic) (Green Cabbage [Organic], Water, Sea Salt)",Corn Flour (Organic),Vegetable Oil (Organic) (Sunflower [Organic] and/or Safflower [Organic] and/or Red Palm Olein [Organic]),Brown Rice Flour (Organic),Sea Salt,Organic Inulin (Organic),Bacillus Coagulans GBI-30 6086
G79728_1x_10ul_RD3_01_20303.mzXML,11442.G79728,purple cabbage,purple cabbage,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G79729_1x_rerun_drift_RC3_01_20546.mzXML,11442.G79729,tomato paste,tomato,salt,not applicable,not applicable,not applicable,not applicable,not applicable
G79730_5x_10ul_RG7_01_19561.mzXML,11442.G79730,Organic Traditional Red Miso - Miso Master Organic - miso paste (very brown),organic whole soybeans,handmade rice koji,sun dried sea salt,blue ridge mtn well water,koji spores,not applicable ,not applicable 
G79731_1x_RC4_01_20264.mzXML,11442.G79731,edamame,edamame,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G79732_5x_rerun_10ul_RB8_01_19588.mzXML,11442.G79732,homemade yogurt,organic pasteurized whole milk,yogurt starter batch,not applicable,not applicable,not applicable,not applicable,not applicable
G79733_5x_4ul_BE5_01_19722.mzXML,11442.G79733,yunnan hong cha,yunnan hong cha,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G79735_1x_RE4_01_20321.mzXML,11442.G79735,large lime,large lime,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G79736_1x_10ul_RD4_01_20304.mzXML,11442.G79736,mini lime,mini lime,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G79737_5x_BA2_01_19608.mzXML,11442.G79737,immune booster (Immortalizer ),rosehips,peppermint,orange peel,echinacea root and flower,calendula,red clover,oregon grape;goldenseal;gunpowder greentea
G79738_5x_4ul_BE2_01_19719.mzXML,11442.G79738,Early grey,Chinese orange pekoe,bergamot oil,not applicable,not applicable,not applicable,not applicable,not applicable
G79739_5x_rerun_2ul_BB2_01_19647.mzXML,11442.G79739,market spice,Black tea,cinnamon-orange oil,dried orange peel,not applicable,not applicable,not applicable,not applicable
G79740_5x_4ul_BH2_01_19753.mzXML,11442.G79740,jade earl green,Green tea,bergamot oil,not applicable,not applicable,not applicable,not applicable,not applicable
G79741_1x_BF11_01_20223.mzXML,11442.G79741,Vegetable Korma,water,onions,potatoes,carrots,sweet corn,coconut milk,spinach;yogurt;sunflower oil;chickpea flour;garlic;salt;ginger;spices;cardamom;turmeric
G79743_5x_rerun_BE6_01_20087.mzXML,11442.G79743,"large parrot food, apple paradise 64",whole grain yellow corn,soybean meal,corn gluten meal,corn hominy feed,sucrose,sugar beet pulp,dehydrated alfalfa meal;soybean oil;zinc sulfate;flaxseed oil;dicalcium phosphate;niacin supplement;apple fiber;manganese sulfate;ferrous sulfate;calcium carbonate;calcium pantothenate;sodium chloride;l-lysine;copper sulfate;riboflavin supplement;thiamin mononitrate;cobalt oxide;folic acid;l-ascorbyl-2-polyphosphate;natural and artificial color;pyridoxine hydrochloride;choline chloride;ethylenediamine dihydriodide;d-biotin;sodium selenite;vitamin b12 supplement;vitamin A supplement;vitamin d3 supplement;vitamin E supplement
G79744_5x_rerun_BC6_01_20078.mzXML,11442.G79744,"fruit blend flavor, very small birds (canaries & finches) 69",canary grass seeds,white proso millet,red proso millet,ground corn,flaxseeds,oats groats,soybean meal;safflower seeds;dried coconut;dried papaya;dried pineapple;sugar;corn gluten meal;calcium carbonate;dried cane molasses;dried beet molasses;dicalcium phosphate;ground wheat;salt;fructooligosaccharide;l-lysine monohydrochloride;wheat germ meal;vegetable oil (preserved with mixed tocopherols);choline chloride;dl-methionine;vitamins (vitamin E supplement;niacin supplement;biotin;d-calcium pantothenate;riboflavin supplement;pyridoxine hydrochloride;thiamine mononitrate;vitamin A acetate;vitamin D3 supplement;menadione sodium bisulfite complex (source of vitamin K activity);vitamin B12 supplement;folic acid);potassium chloride;minerals (manganous oxide;zinc oxide;copper sulfate;sodium selenite;calcium iodate);l-ascorbyl-2-polyphosphate;natural flavors;citric acid (preservative);mixed tocopherols (preservative);dried oranges;dried apples;dried grapes;dried bananas;yellow 6;yellow 5;Blue 1;red 40;color added;sulfur dioxide (preservative);dried bacillus licheniformis fermentation product;dried bacillus subtilis fermentation product
G79745_5x_BB6_01_19956.mzXML,11442.G79745,sprout seed 68,canary grass,niger,rape,black lettuce,non-viable hemp,japanese millet,safflower;sesame;white proso;golden german and red siberian millet
G79746_5x_BD6_01_19991.mzXML,11442.G79746,"chili jungle, M709B - 58",Whole grain yellow corn,soybean meal,corn gluten meal,corn hominy feed,sucrose,sugar beet pulp,"dehydrated alfalfa meal;soybean oil;zinc sulfate;flaxseed oil;dicalcium phosphate;niacin supplement;apple fiber;manganese sulfate;ferrous sulfate;calcium carbonate;calcium pantothenate;sodium chloride;red chili pepper (mix and chili products);L-lysine, copper sulfate;riboflavin supplement;thiamin mononitrate;cobalt oxide;folic acid;l-ascorbyl-2-polyphosphate (source of vitamin C);natural and artificial color (mix, chili, and apple products);pyridoxine hydrochloride;choline chloride;ethylenediamine dihydriodide;d-biotin;sodium selenite;vitamin B-12 supplement;vitamin A supplement;vitamin D-3 supplement;vitamin E supplement"
G79747_5x_BH6_01_20059.mzXML,11442.G79747,kangaroo and wallaby diet 44,wheat middlings,ground corn,ground oats,dehulled soybean meal,ground soybean hulls,whole wheat,wheat germ;cane molasses;calcium carbonate;dried beet pulp;soybean oil;salt;d-alpha tocopheryl acetate (form of vitamin E);fructose;dicalcium phosphate;choline chloride;pyridoxine hydrochloride;vitamin A acetate;menadione sodium bisulfite complex (source of vitamin K);preserved with mixed tocopherols (form of vitamin E);rosemary extract;dl-methionine;vitamin B12 supplement;cholecalciferol (form of vitamin D3);citric acid (a preservative);calcium pantothenate;biotin;nicotinic acid;riboflavin supplement;folic acid;thiamine mononitrate;manganous oxide;zinc oxide;ferrous carbonate;copper sulfate;zinc sulfate;calcium iodate;sodium selenite;cobalt carbonate
G79748_5x_BH12_01_20069.mzXML,11442.G79748,insectivore diet 45,poultry by-product meal,ground soybean hulls,whole wheat,chicken meal,dried beet pulp,ground brown rice,dehulled soybean meal;dried egg product;ground aspen;poultry fat preserved with BHA;porcine animal fat preserved with BHA and citric acid;natural poultry flavor;powdered cellulose;dried apple pomace;wheat germ;fish meal;shrimp meal;whey;lecithin;soybean oil;brewers dried yeast;fish oil;phosphoric acid;dl-methionine;taurine;choline chloride;tagetes (Aztec marigold) extract (color);lascorbyl-2-polyphosphate (stabilized vitamin C);pyridoxine hydrochloride;salt;thiamine mononitrate;menadione sodium bisulfite complex (source of vitamin K);d-alpha tocopheryl acetate (form of vitamin E);cholecalciferol (form of vitamin D3);preserved with mixed tocopherols (form of vitamin E);calcium carbonate;biotin;inositol;rosemary extract;vitamin A acetate;vitamin B12 supplement;folic acid;citric acid;riboflavin;calcium pantothenate;nicotinic acid;canthaxanthin (color);ferrous sulfate;calcium iodate;copper sulfate;zinc oxide;manganous oxide;ferrous carbonate;zinc sulfate;sodium selenite;cobalt carbonate
G79749_5x_rerun_BH11_01_20115.mzXML,11442.G79749,lemur leafeater M701B lot: 6334 - 62,soybean meal,corn gluten meal,soybean hulls,sugar beet pulp,corn hominy feed,yellow corn,sucrose;dehydrated alfalfa meal;zinc sulfate;soybean oil;dicalcium phosphate;laxseed oil;niacin supplement;apple fiber;manganese sulfate;ferrous sulfate;calcium carbonate;d-calcium pantothenate;sodium chloride;copper sulfate;l-lysine;riboflavin supplement;thiamin mononitrate;cobalt oxide;folic acid;menadione nicotinamide bisulfite;pyridoxine HCL;l-ascorbyl-2-polyphosphate;choline chloride;ethylenediamine dihydriodide;FDC #4;biotin;sodium selenite;vitamin B-12 supplement;vitamin A supplement;vitamin D-3 supplement;vitamin E supplement
G79750_5x_10ul_BA10_01_19877.mzXML,11442.G79750,primate L/S biscuit banana 48,hulls,cane molasses,carrageenan,ground brown rice,ground aspen,soybean oil,wheat germ;dicalcium phosphate;soy protein concentrate;dried egg product;sucrose;fructose;artificial flavors;brewers dried yeast;calcium carbonate;pyridoxine hydrochloride;salt;taurine;l-ascorbyl-2-polyphosphate (stabilized vitamin C);choline chloride;Lactobacillus acidophilus fermentation product dehydrated;calcium pantothenate;d-alpha tocopheryl acetate (form of vitamin E);Lactobacillus casei fermentation product dehydrated;dl-methionine;folic acid;Bifidobacterium thermophilum fermentation product dehydrated;cholecalciferol;Enterococcus faecium fermentation product dehydrated;potassium chloride;vitamin A acetate;beta carotene;biotin;menadione sodium bisulfite complex (source of vitamin K);nicotinic acid;riboflavin supplement;thiamine mononitrate;preserved with mixed tocopherols (form of vitamin E);vitamin B12 supplement;rosemary extract;citric acid;zinc proteinate;manganese proteinate;ground rice hulls;copper proteinate;copper sulfate;cobalt proteinate;ethylenediamine dihydroiodide;sodium selenite
G79751_5x_RE5_01_21473.mzXML,11442.G79751,dog food (brand: Natural Balance) - 54,brown rice,chicken,chicken meal,potato fiber,rice bran,tomato pomace,beet pulp;pearled barley;salmon meal;chicken Fat (preserved with natural mixed tocopherols);Lamb Meal;Oatmeal;Natural Flavor;Carrots;Potatoes;Duck;Brewers Dried Yeast;Salt;Potassium Chloride;Salmon Oil;Whole Ground Flaxseed;Choline Chloride;Taurine;Natural Mixed Tocopherols;Spinach;Parsley Flakes;Cranberries;L-Lysine;L-Carnitine;Yucca Schidigera Extract;Dried Kelp;Vitamin E Supplement;Iron Proteinate;Zinc Proteinate;Copper Proteinate;Ferrous Sulfate;Zinc Sulfate;Copper Sulfate;Potassium Iodide;Thiamine Mononitrate (Vitamin B-1);Manganese Proteinate;Manganous Oxide;Ascorbic Acid;Vitamin A Supplement;Biotin;Niacin;Calcium Pantothenate;Manganese Sulfate;Sodium Selenite;Pyridoxine Hydrochloride (Vitamin B-6);Vitamin B-12 Supplement;Riboflavin (Vitamin B-2);Vitamin D-3 Supplement;Folic Acid
G79752_5x_BC8_01_19978.mzXML,11442.G79752,flamingo complete diet 38,ground corn,wheat middlings,whole wheat,fish meal,porcine meat and bone meal,dehulled soybean meal,"brewers dried yeast;soybean oil;calcium carbonate;spray dried animal blood cells;dl-methionine;l-lysine;salt;dicalcium phosphate;pyridoxine hydrochloride;choline chloride;cholecalciferol (form of vitamin D3);d-alpha tocopheryl acetate (form of vitamin E);canthaxanthin (color);vitamin A acetate;preserved with mixed tocopherols (form of vitamin E);lascorbyl- 2-polyphosphate (stabilized vitamin C);biotin;rosemary extract;citric acid;thiamine mononitrate;calcium pantothenate;riboflavin;magnesium oxide;menadione sodium bisulfite complex (source of vitamin K);folic acid;nicotinic acid;inositol;vitamin B12 supplement;manganous oxide;p-aminobenzoic acid;zinc oxide;copper sulfate;sodium selenite,calcium iodate"
G79753_5x_BC9_01_19979.mzXML,11442.G79753,sunflower seeds 71,sunflower seeds,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G79754_5x_RE3_01_21470.mzXML,11442.G79754,CS-ADF25 Hi-Cu diet (brand: Mazuri) - 33,ground soybean hulls,dried beet pulp,wheat middlings,dehulled soybean meal,cane molasses,oat hulls,soybean oil;ground aspen;corn gluten meal;ground corn;calcium carbonate;brewers dried yeast;dicalcium phosphate;salt;lignin sulfonate;calcium propionate (a preservative);sodium sesquicarbonate;natural and artificial flavors;magnesium oxide;dl-alpha tocopheryl acetate (form of vitamin E);sucrose;fish oil (menhaden);riboflavin supplement;preserved with mixed tocopherols (form of vitamin E);biotin;rosemary extract;vitamin D3 supplement;calcium pantothenate;citric acid;vitamin A supplement;copper sulfate;thiamine mononitrate;nicotinic acid;vitamin B12 supplement;choline chloride;d-alpha tocopheryl acetate (form of vitamin E);manganous oxide;zinc oxide;ferrous carbonate;zinc sulfate;calcium iodate;sodium selenite;cobalt carbonate
G79755_5x_RH2_01_21510.mzXML,11442.G79755,42badult,ground whole grain corn,chicken by-product meal,ground whole grain sorghum,chicken,dried beet pulp,ground whole grain barley,natural flavor;chicken fat (preserved with mixed tocopherols);dried egg product;potassium chloride;dried brewers yeast;carmel color;salt;l-lysine;monohydrochloride;choline chloride;fish oil (preserved with mixed tocopherols);dl-methionine;carrots;calcium carbonate;tomatoes;flaxseed;fructooligosaccharides;dicalcium phosphate;spinach;green peas;ferrous sulfate;zinc oxide;sodium selenite;manganese sulfate;copper sulfate;manganous oxide;potassium iodide;vitamin E;ascorbic acid;calcium pantothenate;vitamin A supplement;biotin;thiamine mononitrate;vitamin B12 supplement;niacin;riboflavin supplememt;inositol;pyridoxine hydrochloride;vitamin D3 supplement;folic acid;l-tryptophan;dried apple pomace;dried blueberry pomace;l-carnitine;mixed tocopherols;rosemary extract;citritc acid
G79756_5x_RC2_01_21428.mzXML,11442.G79756,beet pulp shreds with molasses 40,dried beet pulp,beet molasses,not applicable,not applicable,not applicable,not applicable,not applicable
G83170_1x_RG12_01_18902.mzXML,11442.G83170,hearts palm alone,hearts palm,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G83172_1x_RA12_01_18796.mzXML,11442.G83172,Dannon Oikos Triple Zero mixed berries,cultured grade A non fat milk,chicory root fiber,water,natural flavors,vegetable juice concentrate (color),stevia leaf extract,malic acid;sodium citrate;sea salt;vitamin D3
G83174_1x_RB12_01_18809.mzXML,11442.G83174,hearts palm in salad,hearts palm in salad,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G83175_5x_RE4_01_21472.mzXML,11442.G83175,wild herbivore diet mazuri 27,Oat hulls,ground timothy hay,wheat middlings,dehulled soybean meal,dried beet pulp,ground soybean hulls,ground aspen;cane molasses;lignin sulfonate;ground oats;flaxseed;soybean oil;salt;sodium sesquicarbonate;dicalcium phosphate;calcium carbonate;magnesium oxide;natural and artificial flavors;fish oil;dl-alpha tocopheryl acetate (form of vitamin E);calcium propionate (a preservative);zinc sulfate;manganese sulfate;biotin;vitamin D3 supplement;preserved with mixed tocopherols (form of vitamin E);calcium iodate;calcium pantothenate;vitamin A supplement;rosemary extract;citric acid;riboflavin supplement;thiamine mononitrate;nicotinic acid;copper sulfate;vitamin B12 supplement;choline chloride;sodium selenite;cobalt carbonate
G83176_5x_RC4_01_21430.mzXML,11442.G83176,mazuri primate L/S biscuit cinnamon 49,dehulled soybean meal,ground soybean hulls,dried beet pulp,corn gluten meal,oat hulls,dried apple pomace,flaxseed;cane molasses;carrageenan;ground aspen;soybean oil;wheat germ;dicalcium phosphate;ground brown rice;calcium carbonate;dried egg product;sucrose;fructose;brewers dried yeast;pyridoxine hydrochloride;taurine;l-ascorbyl-2-polyphosphate (stabilized vitamin C);choline chloride;salt;cinnamon;Lactobacillus acidophilus fermentation product dehydrated;calcium pantothenate;dl-methionine;d-alpha tocopheryl acetate (form of vitamin E);Lactobacillus casei fermentation product dehydrated;folic acid;Bifidobacterium thermophilum fermentation product dehydrated;cholecalciferol (vitamin D3);Enterococcus faecium fermentation product dehydrated;potassium chloride;vitamin A acetate;beta carotene;biotin;menadione sodium bisulfite complex (source of vitamin K);nicotinic acid;riboflavin supplement;thiamine mononitrate;preserved with mixed tocopherols (form of vitamin E);vitamin B12 supplement;rosemary extract;citric acid;manganese sulfate;copper sulfate;zinc proteinate;manganese proteinate;ground rice hulls;copper proteinate;cobalt proteinate;ethylenediamine dihydroiodide;sodium selenite
G83177_5x_RB4_01_21417.mzXML,11442.G83177,mazuri flamingo breeder diet 39,dehydrated alfalfa meal,whole wheat,corn gluten meal,fish meal,wheat flour,brewers dried yeast,porcine meat and bone meal;dehulled soybean meal;porcine animal fat preserved with BHA and citric acid;sodium sesquicarbonate;soybean oil;calcium carbonate;shrimp meal;l-lysine;dl-methionine;salt;monosodium glutamate;pyridoxine hydrochloride;spirulina algae meal (color);cholecalciferol (form of vitamin D3);magnesium oxide;d-alpha tocopheryl acetate (form of vitamin E);canthaxanthin (color);folic acid;calcium iodate;vitamin A acetate;choline chloride;preserved with mixed tocopherols (form of vitamin E);l-ascorbyl-2-polyphosphate (stabilized vitamin C);biotin;rosemary extract;thiamine mononitrate;calcium pantothenate;riboflavin supplement;citric acid;vitamin B12 supplement;manganous oxide;inositol;menadione sodium bisulfite complex (source of vitamin K);p-aminobenzoic acid;nicotinic acid;potassium chloride;zinc oxide;ferrous carbonate;copper sulfate;zinc sulfate;sodium selenite;cobalt carbonate
G83178_5x_RH5_01_21513.mzXML,11442.G83178,mazuri omnivore diet 34,ground corn,wheat middlings,porcine meat and bone meal,dehulled soybean meal,whole wheat,spray dried animal blood cells,whey;soybean oil;dicalcium phosphate;brewers dried yeast;salt;calcium carbonate;taurine;l-lysine;dl-methionine;choline chloride;cholecalciferol;pyridoxine hydrochloride;zinc sulfate;vitamin a acetate;manganese sulfate;menadione sodium bisulfite complex (source of vitamin k);calcium iodate;thiamine mononitrate;ferrous sulfate;folic acid;dl-alpha tocopheryl acetate (form of vitamin E);calcium pantothenate;d-alpha tocopheryl acetate (form of vitamin E);vitamin B12 supplement;nicotinic acid;copper sulfate;riboflavin;preserved with mixed tocopherols (form of vitamin E);rosemary extract;biotin;citric acid;cobalt carbonate;sodium selenite
G83179_5x_RD5_01_21444.mzXML,11442.G83179,mazuri elephant supplement 29,wheat middlings,dehulled soybean meal,dehydrated alfalfa meal,cane molasses,salt soybean oil,calcium carbonate,dicalcium phosphate;monocalcium phosphate;calcium lignin sulfonate;calcium propionate (a preservative);dl-alpha tocopheryl acetate (form of vitamin E);calcium pantothenate;biotin;choline chloride;thiamine mononitrate;nicotinic acid;cholecalciferol;vitamin A acetate;riboflavin;vitamin B12 supplement;zinc oxide;preserved with mixed tocopherols (form of vitamin E);l-lysine;rosemary extract;citric acid;copper sulfate;calcium iodate;magnesium oxide;cobalt carbonate;ferrous carbonate;sodium selenite;manganous oxide
G83180_5x_RF5_01_21485.mzXML,11442.G83180,mazuri mega fauna supplement 31,linseed meal,wheat middlings,ground timothy hay,cane molasses,corn oil,salt,choline chloride;dicalcium phosphate;monocalcium phosphate;calcium carbonate;biotin;calciumpantothenate;sodium sesquicarbonate;calcium propionate;dl-alpha tocopheryl acetate;lignin sulfonate;natural and artificial apple flavoring;yeast culture;riboflavin supplement;cholecalciferol;magnesium oxide;thiamine mononitrate;nicotinic acid;pyridoxine hydrochloride;beta carotene;vitamin B-12 supplement;vitamin A acetate;l-ascorbyl-2-polyphosphate;zinc oxide;copper sulfate;magnesium sulfate;zinc sulfate;potassium sulfate;preserved with mixed tocopherols;rosemary extract;citric acid;manganese sulfate;manganous oxide;cobalt carbonate;ferrous sulfate;ethylenediamine dihydroiodide;sodium selenite;potassium iodide;basic copper chloride;sodium molybdate
G83181_5x_RG5_01_21501.mzXML,11442.G83181,mazuri adf 16  herbivore diet regional 28,sun cured alfalfa,dehulled soybean meal,cane molasses,oat hulls,soybean oil,salt,calcium carbonate;calcium propionate;dicalcium phosphate;calcium phosphate;dl-alpha tocopheryl acetate;thiamine mononitrate;choline chloride;biotin;calcium pantothenate;lignin sulfonate;zinc oxide;cholecalciferol;nicotinic vitamin B-12 supplement;manganous oxide;riboflavin supplement;vitamin A acetate;copper sulfate;cobalt carbonate;manganese sulfate;ethylenediamine dihydroiodide;zinc sulfate;sodium selenite;basic copper chloride;ferrous sulfate;potassium sodium molybdate
G83182_5x_RB5_01_21418.mzXML,11442.G83182,timothy grass pellets 32,Naturally Sun-Cured Premium Western Timothy Grass Forage,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G83183_1x_BH10_01_20275.mzXML,11442.G83183,BBQ sauce,high fructose corn syrup,distilled vinegar,tomato paste,modified food starch,salt,pineapple juice concentrate,natural smoke flavor
G83184_1x_BF12_01_20224.mzXML,11442.G83184,zero calorie sweetener,dextrose,reb a (stevia extract),natural flavors,not applicable,not applicable,not applicable,not applicable
G83185_5x_RE11_01_20199.mzXML,11442.G83185,zero calorie sweetener,dextrose with maltodextrin,aspartame,acesulfame potassium,not applicable,not applicable,not applicable,not applicable
G83186_5x_RE8_01_20196.mzXML,11442.G83186,zero calorie sweetener,nutritive dextrose,saccharin,cream of tartar,calcium silicate,not applicable,not applicable,not applicable
G83187_1x_BB3_01_20139.mzXML,11442.G83187,cardamom,cardamom,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G83188_1x_BG10_01_20235.mzXML,11442.G83188,chocolate syrup,high fructose corn syrup,corn syrup,water,cocoa,sugar,potassium sorbate,salt
G83189_5x_RB10_01_20151.mzXML,11442.G83189,quinoa,tricolor quinoa,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G83190_5x_RA10_01_20129.mzXML,11442.G83190,cajun seasoning,not collected,not collected,not collected,not collected,not collected,not collected,not collected
G83191_1x_BF10_01_20222.mzXML,11442.G83191,Tajin,chili peppers,salt ,dehydrated lime juice,silicon dioxide,not applicable,not applicable,not applicable
G83192_10x_RE10_01_20198.mzXML,11442.G83192,chicken flavor ramen seasoning,salt,sugar,monosodium glutamate,maltodextrin,lactose,celery seed,hydrolyzed corn; more ingredients
G83193_5x_RC12_01_20169.mzXML,11442.G83193,earl grey tea,black tea,bergamot flavoring,not applicable,not applicable,not applicable,not applicable,not applicable
G83194_1x_BH3_01_20240.mzXML,11442.G83194,zero calorie sweetener,dextrose,maltodextrin,sucralose,not applicable,not applicable,not applicable,not applicable
G83195_GC1_01_20474.mzXML,11442.G83195,corn soybean blend,corn,soybean,not applicable,not applicable,not applicable,not applicable,not applicable
